idacidente;longitude;latitude;data;hora;log1;log2;predial1;regiao;tipo_acid;tipo_veic;dia_sem;periododia;sit_vitima;sexo;idade;fx_et;fatais
727941;-51,109799436902634;-29,98880525062052;2023-03-15;01:00:00;AV BERNARDINO SILVEIRA DE AMORIM;;994,0;NORTE;NAO CADASTRADO;MOTOCICLETA;QUARTA-FEIRA;MADRUGADA;CONDUTOR;MASCULINO;23,0;18 A 25;0
696352;-51,229399223160485;-30,047423925003454;2022-06-02;12:00:00;AV IPIRANGA;AV BORGES DE MEDEIROS;50,0;CENTRO;ABALROAMENTO;MOTOCICLETA;QUINTA-FEIRA;TARDE;CONDUTOR;MASCULINO;34,0;26 A 35;0
643545;-51,214455;-30,122420;2018-01-01;00:30:00;R CASEMIRO DE SOUZA;;170,0;SUL;ATROPELAMENTO;;SEGUNDA-FEIRA;MADRUGADA;PEDESTRE;FEMININO;18,0;18 A 25;0
672540;-51,18556272253499;-30,035172936260743;2020-05-15;18:00:00;AV DR NILO PECANHA;R CARLOS TREIN FILHO;106,0;LESTE;ABALROAMENTO;MOTOCICLETA;SEXTA-FEIRA;NOITE;CONDUTOR;MASCULINO;60,0;60 +;0
700286;-51,22164554664964;-30,04147521893247;2022-09-10;22:45:00;R JOSE DO PATROCINIO;;763,0;CENTRO;ABALROAMENTO;MOTOCICLETA;SÁBADO;NOITE;CONDUTOR;MASCULINO;;NI;0
695688;-51,12846432378211;-30,07688638031243;2022-05-19;06:45:00;AV BENTO GONCALVES;R DOLORES DURAN;8952,0;LESTE;ABALROAMENTO;MOTOCICLETA;QUINTA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;36,0;36 A 45;0
679720;-51,140976815712;-29,99776752047021;2021-02-22;13:20:00;AV SERTORIO;;6660,0;NORTE;ABALROAMENTO;MOTOCICLETA;SEGUNDA-FEIRA;TARDE;CONDUTOR;MASCULINO;54,0;46 A 59;0
650499;-51,149726;-30,162300;2018-07-30;09:15:00;ESTR JOAO ANTONIO SILVEIRA;;673,0;SUL;ABALROAMENTO;AUTOMÓVEL;SEGUNDA-FEIRA;MANHÃ;CONDUTOR;FEMININO;34,0;26 A 35;0
646945;-51,216381;-30,041186;2018-05-01;04:45:00;AV VENANCIO AIRES;AV JOAO PESSOA;0,0;CENTRO;ABALROAMENTO;AUTOMÓVEL;TERÇA-FEIRA;MADRUGADA;OCUPANTE;FEMININO;19,0;18 A 25;0
732714;-51,19421179472183;-30,084213450577437;2023-07-12;06:30:00;AV PROF OSCAR PEREIRA;;4120,0;SUL;ABALROAMENTO;AUTOMÓVEL;QUARTA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;55,0;46 A 59;0
691168;-51,195679233042775;-30,06762296314078;2022-01-09;16:00:00;R PAULINO AZURENHA;;891,0;LESTE;ATROPELAMENTO;AUTOMÓVEL;DOMINGO;TARDE;PEDESTRE;FEMININO;13,0;11 A 17;0
733608;-51,154982409488056;-30,031020946268264;2023-07-24;07:15:00;AV DR NILO PECANHA;;3637,0;LESTE;COLISÃO;MOTOCICLETA;SEGUNDA-FEIRA;MANHÃ;CONDUTOR;FEMININO;;NI;0
729082;-51,162970545113936;-30,051173073419037;2023-04-18;19:30:00;AV JOAQUIM PORTO VILLANOVA;;625,0;LESTE;ABALROAMENTO;MOTOCICLETA;TERÇA-FEIRA;NOITE;OCUPANTE;MASCULINO;37,0;36 A 45;0
687865;-51,196397232244486;-30,141231716807674;2018-04-23;19:00:00;ESTR CRISTIANO KRAEMER;;3100,0;SUL;COLISÃO;AUTOMÓVEL;SEGUNDA-FEIRA;NOITE;CONDUTOR;MASCULINO;61,0;60 +;0
731150;-51,17959884789295;-30,17173450522293;2023-06-06;20:30:00;AV JUCA BATISTA;;6433,0;SUL;COLISÃO;MOTOCICLETA;TERÇA-FEIRA;NOITE;CONDUTOR;MASCULINO;61,0;60 +;0
683801;-51,2435600686274;-30,111986211923156;2021-06-26;09:40:00;R LANDEL DE MOURA;;1720,0;SUL;ABALROAMENTO;AUTOMÓVEL;SÁBADO;MANHÃ;OCUPANTE;FEMININO;60,0;60 +;0
678255;-51,213871547319265;-30,083633516315878;2021-01-07;18:00:00;AV TERESOPOLIS;;3621,0;SUL;ABALROAMENTO;MOTOCICLETA;QUINTA-FEIRA;NOITE;CONDUTOR;MASCULINO;28,0;26 A 35;0
704417;-51,11176748241867;-30,009637461595656;2022-12-21;14:30:00;AV DR RUBEM KNIJNIK;;595,0;NORTE;ABALROAMENTO;MOTOCICLETA;QUARTA-FEIRA;TARDE;CONDUTOR;MASCULINO;21,0;18 A 25;0
